track,artist,album,genre,price,release_date
Young Dumb & Broke,Khalid,American Teen,R&B/Soul,1.29,2017-02-02
Sunflower (Spider-Man: Into the Spider-Verse),Post Malone & Swae Lee,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Hip-Hop/Rap,1.29,2018-10-19
MILLION DOLLAR BABY,Tommy Richman,MILLION DOLLAR BABY - Single,Hip-Hop/Rap,1.29,2024-04-26
YOSEMITE,Travis Scott,ASTROWORLD,Hip-Hop/Rap,1.29,2018-08-03
Broadway Girls (feat. Morgan Wallen),Lil Durk,Broadway Girls (feat. Morgan Wallen) - Single,Hip-Hop/Rap,1.29,2021-12-19
Let You Down,NF,Perception,Hip-Hop/Rap,1.29,2017-01-01
No Scrubs,TLC,FanMail,R&B/Soul,1.29,1999-02-02
Heartless,Kanye West,808s & Heartbreak,Hip-Hop/Rap,1.29,2008-11-04
LOVE. (feat. Zacari),Kendrick Lamar,DAMN.,Hip-Hop/Rap,1.29,2017-04-14
"Hold On, We're Going Home (feat. Majid Jordan)",Drake,Nothing Was the Same (Deluxe),Hip-Hop/Rap,1.29,2013-08-07
One Dance (feat. Wizkid & Kyla),Drake,Views,Hip-Hop/Rap,1.29,2016-04-05
Circles,Post Malone,Hollywood's Bleeding,Hip-Hop/Rap,1.29,2019-08-30
Location,Khalid,American Teen,R&B/Soul,1.29,2016-08-26
Talk (feat. Disclosure),Khalid,Free Spirit,R&B/Soul,1.29,2019-02-07
luther,Kendrick Lamar,GNX,Hip-Hop/Rap,1.29,2024-11-21
BUTTERFLY EFFECT,Travis Scott,ASTROWORLD,Hip-Hop/Rap,1.29,2017-05-15
Down On Me (feat. 50 Cent),Jeremih,All About You (Deluxe Edition),R&B/Soul,1.29,2010-09-28
Favorite Song,Toosii,Favorite Song - Single,Hip-Hop/Rap,1.29,2023-02-17
In My Feelings,Drake,Scorpion,Hip-Hop/Rap,1.29,2018-06-29
Old Town Road (feat. Billy Ray Cyrus) [Remix],Lil Nas X,7,Country,1.29,2019-04-05
One Dance (feat. Wizkid & Kyla),Drake,Views,Hip-Hop/Rap,1.29,2016-04-05
Doo Wop (That Thing),Lauryn Hill,The Miseducation of Lauryn Hill,R&B/Soul,1.29,1998-08-10
My House,Flo Rida,My House,Hip-Hop/Rap,1.29,2015-04-07
No Idea,Don Toliver,Heaven Or Hell,Hip-Hop/Rap,1.29,2019-05-29
Say My Name,Destiny's Child,The Writing's On the Wall,R&B/Soul,1.29,1999-07-14
Mr. Rager,Kid Cudi,Man On The Moon II: The Legend Of Mr. Rager (Deluxe Edition),Hip-Hop/Rap,1.29,2010-10-25
BUTTERFLY EFFECT,Travis Scott,ASTROWORLD,Hip-Hop/Rap,1.29,2017-05-15
"One, Two Step (feat. Missy Elliott)",Ciara,Goodies,R&B/Soul,1.29,2004-09-28
What You Saying,Lil Uzi Vert,What You Saying - Single,Hip-Hop/Rap,0.99,2025-12-22
Un-thinkable (I'm Ready),Alicia Keys,The Element of Freedom,R&B/Soul,1.29,2009-12-11
Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,Hollywood's Bleeding,Hip-Hop/Rap,1.29,2019-09-06
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,The Heist (Deluxe Edition),Hip-Hop/Rap,1.29,2011-08-16
Low (feat. T-Pain),Flo Rida,Mail On Sunday,Hip-Hop/Rap,1.29,2007-10-09
Worth It,YK Osiris,Worth It - Single,Hip-Hop/Rap,1.29,2019-02-08
Temperature,Sean Paul,The Trinity,Pop,1.29,2005-09-27
Panini,Lil Nas X,7,Pop,1.29,2019-06-20
Cooler Than Me (Single Mix),Mike Posner,31 Minutes to Takeoff,Pop,0.69,2010-04-16
